Date,Customer,TipoDocumento,Num,Producto,Descripcion,Qty,SalesPrice,Amount,Balance,Class,SalesRep,TipoCliente,ID,Month
2025-08-13,Sabor Tropical Supermarket #4,Credit Memo,008-06269,Varios:Promotional Allowance,Arroz Envasado:Parboiled 5KG Dos Hermanos.,-7.0,465.0,-3255.0,4589614,Bulk Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1390199,Aug
2025-08-13,ALS Foods,Credit Memo,008-06270,Varios:Promotional Allowance,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,-1.0,2775.0,-2775.0,4589586,Bulk Rice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390200,Aug
2025-08-13,Gala Fresh Farms - Boca Ratón,Credit Memo,008-06271,Varios:Promotional Allowance,Arroz Envasado:Long Rice 10 LB Dos Hermanos,-3.0,355.0,-1065.0,4589480,Bulk Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1390201,Aug
2025-08-13,Key Food / Holywood,Credit Memo,008-06272,Varios:Promotional Allowance,Arroz Envasado:Long Rice 10 LB Dos Hermanos,-1.0,355.0,-355.0,4589444,Branded Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1390202,Aug
2025-08-15,Mei Chang,Invoice,008-06226,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,7.0,2825.0,19775.0,4589642,Bulk Rice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390203,Aug
2025-08-15,Soriano Brothers PB,Invoice,008-06227,Liquids:AS Lemon Juice 4/1 Gl,,3.0,1495.0,4485.0,4589687,American Spice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390204,Aug
2025-08-15,Soriano Brothers PB,Invoice,008-06227,Liquids:AS White Vinegar,4/1 Gl.,2.0,95.0,19.0,4589706,American Spice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390205,Aug
2025-08-15,Soriano Brothers PB,Invoice,008-06227,Spices:AS Sazon (for all),1 / 30 lb (box or pail),2.0,59.0,118.0,4589824,American Spice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390206,Aug
2025-08-15,Soriano Brothers PB,Invoice,008-06227,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,11.0,2775.0,30525.0,4590129,Bulk Rice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390207,Aug
2025-08-15,Soriano Brothers PB,Invoice,008-06227,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,10.0,2785.0,2785.0,4590408,Bulk Rice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390208,Aug
2025-08-15,Soriano Brothers PB,Invoice,008-06227,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,1.0,2775.0,2775.0,4590435,Bulk Rice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390209,Aug
2025-08-15,Bravo   Francisco Diaz,Invoice,008-06228,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,2785.0,13925.0,4590575,Bulk Rice,Lisset Limpio -020,RETAIL  DSD,1390210,Aug
2025-08-15,El Gallego Supermarket,Invoice,008-06229,Liquids:AS Bitter Orange,4 / 1 gl.,2.0,14.0,28.0,4590603,American Spice,Lisset Limpio -020,RETAIL  DSD,1390211,Aug
2025-08-15,El Gallego Supermarket,Invoice,008-06229,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,5.0,2675.0,13375.0,4590736,Bulk Rice,Lisset Limpio -020,RETAIL  DSD,1390212,Aug
2025-08-15,El Gallego Supermarket,Invoice,008-06229,Dry Beans:Dry Beans - Black Beans 50,Dry Black Beans 50 lb,2.0,35.0,70.0,4590806,Dry Beans,Lisset Limpio -020,RETAIL  DSD,1390213,Aug
2025-08-15,El Gallego Supermarket,Invoice,008-06229,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,6.0,355.0,213.0,4591019,Branded Rice,Lisset Limpio -020,RETAIL  DSD,1390214,Aug
2025-08-15,El Gallego Supermarket,Invoice,008-06229,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,1.0,355.0,355.0,4591055,Branded Rice,Lisset Limpio -020,RETAIL  DSD,1390215,Aug
2025-08-15,El Palacio de los jugos /  Nanos Latin Foods,Invoice,008-06230,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,2785.0,13925.0,4591194,Bulk Rice,Lisset Limpio -020,Cafeteria,1390216,Aug
2025-08-15,El Palacio de los jugos /  Nanos Latin Foods,Invoice,008-06230,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,7.0,2675.0,18725.0,4591381,Bulk Rice,Lisset Limpio -020,Cafeteria,1390217,Aug
2025-08-15,El Palacio de los jugos / Caribe Tropical,Invoice,008-06231,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,6.0,2675.0,1605.0,4591542,Bulk Rice,Lisset Limpio -020,Cafeteria,1390218,Aug
2025-08-15,El Palacio de Los Jugos / Casa mía Food Restaurant inc,Invoice,008-06232,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,2675.0,2675.0,4591809,Bulk Rice,Lisset Limpio -020,Cafeteria,1390219,Aug
